model,data_regime,epoch,layer,grad_norm
efficientnet_b0,100%,2,blocks.2.1.conv_pw.weight,0.1368706375360489
efficientnet_b0,100%,2,blocks.2.1.bn1.weight,0.012556953355669975
efficientnet_b0,100%,2,blocks.2.1.bn1.bias,0.014644619077444077
efficientnet_b0,100%,2,blocks.2.1.conv_dw.weight,0.10356232523918152
efficientnet_b0,100%,2,blocks.2.1.bn2.weight,0.019398605450987816
efficientnet_b0,100%,2,blocks.2.1.bn2.bias,0.01201412733644247
efficientnet_b0,100%,2,blocks.2.1.se.conv_reduce.weight,0.051015470176935196
efficientnet_b0,100%,2,blocks.2.1.se.conv_reduce.bias,0.004819322377443314
efficientnet_b0,100%,2,blocks.2.1.se.conv_expand.weight,0.06239613518118858
efficientnet_b0,100%,2,blocks.2.1.se.conv_expand.bias,0.007470470853149891
efficientnet_b0,100%,2,blocks.2.1.conv_pwl.weight,0.11830271035432816
efficientnet_b0,100%,2,blocks.2.1.bn3.weight,0.005640346556901932
efficientnet_b0,100%,2,blocks.2.1.bn3.bias,3.68215268053973e-07
efficientnet_b0,100%,2,blocks.3.0.conv_pw.weight,0.21792379021644592
efficientnet_b0,100%,2,blocks.3.0.bn1.weight,0.021399615332484245
efficientnet_b0,100%,2,blocks.3.0.bn1.bias,0.025621922686696053
efficientnet_b0,100%,2,blocks.3.0.conv_dw.weight,0.08554832637310028
efficientnet_b0,100%,2,blocks.3.0.bn2.weight,0.04090578109025955
efficientnet_b0,100%,2,blocks.3.0.bn2.bias,0.01543201133608818
efficientnet_b0,100%,2,blocks.3.0.se.conv_reduce.weight,0.023618904873728752
efficientnet_b0,100%,2,blocks.3.0.se.conv_reduce.bias,0.0007856194279156625
efficientnet_b0,100%,2,blocks.3.0.se.conv_expand.weight,0.008797469548881054
efficientnet_b0,100%,2,blocks.3.0.se.conv_expand.bias,0.020197566598653793
efficientnet_b0,100%,2,blocks.3.0.conv_pwl.weight,0.21928752958774567
efficientnet_b0,100%,2,blocks.3.0.bn3.weight,0.00804089941084385
efficientnet_b0,100%,2,blocks.3.0.bn3.bias,6.016978773004666e-07
efficientnet_b0,100%,2,blocks.3.1.conv_pw.weight,0.16806365549564362
efficientnet_b0,100%,2,blocks.3.1.bn1.weight,0.012122559361159801
efficientnet_b0,100%,2,blocks.3.1.bn1.bias,0.00953124463558197
efficientnet_b0,100%,2,blocks.3.1.conv_dw.weight,0.08439090847969055
efficientnet_b0,100%,2,blocks.3.1.bn2.weight,0.016885140910744667
efficientnet_b0,100%,2,blocks.3.1.bn2.bias,0.010190132074058056
efficientnet_b0,100%,2,blocks.3.1.se.conv_reduce.weight,0.04886190593242645
efficientnet_b0,100%,2,blocks.3.1.se.conv_reduce.bias,0.004047681577503681
efficientnet_b0,100%,2,blocks.3.1.se.conv_expand.weight,0.07702900469303131
efficientnet_b0,100%,2,blocks.3.1.se.conv_expand.bias,0.005705856252461672
efficientnet_b0,100%,2,blocks.3.1.conv_pwl.weight,0.1424504518508911
efficientnet_b0,100%,2,blocks.3.1.bn3.weight,0.007201096508651972
efficientnet_b0,100%,2,blocks.3.1.bn3.bias,5.446919999485544e-07
efficientnet_b0,100%,2,blocks.3.2.conv_pw.weight,0.1633588671684265
efficientnet_b0,100%,2,blocks.3.2.bn1.weight,0.01062205620110035
efficientnet_b0,100%,2,blocks.3.2.bn1.bias,0.008338403888046741
efficientnet_b0,100%,2,blocks.3.2.conv_dw.weight,0.07017682492733002
efficientnet_b0,100%,2,blocks.3.2.bn2.weight,0.017686448991298676
efficientnet_b0,100%,2,blocks.3.2.bn2.bias,0.011125398799777031
efficientnet_b0,100%,2,blocks.3.2.se.conv_reduce.weight,0.042053401470184326
efficientnet_b0,100%,2,blocks.3.2.se.conv_reduce.bias,0.004492794629186392
efficientnet_b0,100%,2,blocks.3.2.se.conv_expand.weight,0.0600748173892498
efficientnet_b0,100%,2,blocks.3.2.se.conv_expand.bias,0.00601468700915575
efficientnet_b0,100%,2,blocks.3.2.conv_pwl.weight,0.1233179047703743
efficientnet_b0,100%,2,blocks.3.2.bn3.weight,0.006959674879908562
efficientnet_b0,100%,2,blocks.3.2.bn3.bias,5.308971253725758e-07
efficientnet_b0,100%,2,blocks.4.0.conv_pw.weight,0.25651678442955017
efficientnet_b0,100%,2,blocks.4.0.bn1.weight,0.02556585520505905
efficientnet_b0,100%,2,blocks.4.0.bn1.bias,0.0399194099009037
